icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
a35c97,JBU2033 ,United States,1714052474,1714052474,-71.0132,42.367,,True,1.54,78.75,,,,,False,0
a9607d,JBU452  ,United States,1714052473,1714052473,-71.0124,42.3652,,True,8.75,199.69,,,,0701,False,0
a83e86,JBU349  ,United States,1714053373,1714053382,-71.0177,42.3681,,True,0.64,239.06,,,,,False,0
acd481,AAL622  ,United States,1714053381,1714053381,-71.0201,42.3614,,True,0.0,25.31,,,,,False,0
a1b449,RPA5716 ,United States,1714053383,1714053383,-71.0203,42.3639,,True,0.0,306.56,,,,0517,False,0
a426a5,DAL1224 ,United States,1714053384,1714053384,-71.0101,42.3715,,True,12.35,205.31,,,,3001,False,0
a22358,RPA5770 ,United States,1714053380,1714053380,-71.0216,42.3636,,True,0.0,36.56,,,,,False,0
a1acdb,RPA5780 ,United States,1714053383,1714053383,-71.0134,42.3476,-60.96,False,67.69,19.54,-3.58,,38.1,1056,False,0
a04e00,DAL1451 ,United States,1714053376,1714053382,-71.0236,42.3641,,True,0.0,149.06,,,,,False,0
ac2ba0,SWA900  ,United States,1714053374,1714053381,-71.0156,42.3633,,True,0.0,292.5,,,,,False,0
a2d27c,JBU1854 ,United States,1714053383,1714053383,-71.0148,42.3674,,True,0.0,334.69,,,,1372,False,0
a08a6b,DAL     ,United States,1714053383,1714053383,-71.023,42.3649,,True,0.06,78.75,,,,,False,0
a29611,JBU1159 ,United States,1714053375,1714053378,-71.0149,42.3667,,True,0.64,5.62,,,,,False,0
a35fc2,JBU809  ,United States,1714053362,1714053362,-71.0144,42.3651,,True,0.06,320.62,,,,1066,False,0
aae6cd,AAL403  ,United States,1714053371,1714053371,-71.021,42.3604,,True,0.0,118.12,,,,,False,0
ad935b,JBU2051 ,United States,1714053378,1714053383,-71.0161,42.3696,,True,0.0,33.75,,,,,False,0
a21833,RPA5744 ,United States,1714053382,1714053382,-71.0227,42.3604,,True,6.69,300.94,,,,6616,False,0
ac89f7,JBU690  ,United States,1714053377,1714053382,-71.0145,42.3717,,True,0.0,315.0,,,,1505,False,0
aa6113,AAL1315 ,United States,1714053382,1714053383,-71.017,42.3599,,True,0.0,317.81,,,,,False,0
a48ac4,FFT3011 ,United States,1714053171,1714053171,-71.0252,42.3713,,True,0.0,225.0,,,,,False,0
a22a25,RAX957  ,United States,1714053312,1714053312,-71.0224,42.3744,,True,0.0,312.19,,,,,False,0
ab385e,AAL1922 ,United States,1714053067,1714053357,-71.0196,42.3609,,True,0.0,81.56,,,,1042,False,0
ab6020,DAL2968 ,United States,1714053384,1714053384,-71.0149,42.3601,,True,9.77,199.69,,,,3523,False,0
a84d62,JBU1061 ,United States,1714053379,1714053384,-71.0148,42.3683,,True,0.0,247.5,,,,,False,0
a20957,RPA5636 ,United States,1714053353,1714053353,-71.0225,42.364,,True,0.39,30.94,,,,,False,0
a1b092,RPA5670 ,United States,1714053382,1714053382,-71.0138,42.3545,,True,0.0,19.69,,,,,False,0
a00323,N10J    ,United States,1714053378,1714053383,-71.0127,42.3558,,True,0.0,90.0,,,,,False,0
a8f5ec,KAP916  ,United States,1714054007,1714054007,-71.0155,42.3644,,True,4.12,320.62,,,,,False,0
a83e86,JBU349  ,United States,1714054276,1714054276,-71.013,42.3568,,True,0.0,199.69,,,,,False,0
acd481,AAL622  ,United States,1714054274,1714054274,-71.0206,42.3603,,True,0.0,123.75,,,,,False,0
a1b449,RPA5716 ,United States,1714054273,1714054276,-71.0203,42.3639,,True,0.0,306.56,,,,0517,False,0
a426a5,DAL1224 ,United States,1714054106,1714054106,-71.0212,42.3634,,True,0.0,16.88,,,,3001,False,0
a22358,RPA5770 ,United States,1714054276,1714054277,-71.0146,42.3535,,True,2.83,87.19,,,,,False,0
a1acdb,RPA5780 ,United States,1714054184,1714054184,-71.0232,42.3656,,True,0.06,101.25,,,,1056,False,0
a28545,KAP1011 ,United States,1714054260,1714054261,-71.0126,42.3558,,True,3.6,92.81,,,,,False,0
a04e00,DAL1451 ,United States,1714054276,1714054277,-71.014,42.3542,,True,0.06,19.69,,,,,False,0
ac2ba0,SWA900  ,United States,1714054275,1714054275,-71.0155,42.3633,,True,0.0,292.5,,,,,False,0
a8b8ba,JBU592  ,United States,1714054275,1714054275,-71.0156,42.3688,,True,0.0,185.62,,,,7067,False,0
a08a6b,DAL     ,United States,1714054270,1714054276,-71.023,42.3649,,True,0.06,78.75,,,,,False,0
a35fc2,JBU809  ,United States,1714054263,1714054275,-71.0144,42.3651,,True,0.06,320.62,,,,1066,False,0
a52911,RPA4353 ,United States,1714054271,1714054271,-71.0084,42.373,,True,6.94,298.12,,,,1366,False,0
aa759b,N773QS  ,United States,1714054277,1714054277,-71.0158,42.3711,,True,8.23,135.0,,,,,False,0
a74d57,KAP54   ,United States,1714054275,1714054275,-71.0133,42.3652,,True,9.26,205.31,,,,,False,0
a526e2,AAL1439 ,United States,1714054276,1714054277,-71.012,42.3683,,True,5.66,140.62,,,,2255,False,0
aa7f05,UAL641  ,United States,1714054017,1714054017,-71.0162,42.3616,,True,0.51,284.06,,,,6201,False,0
a037b2,DAL2118 ,United States,1714054276,1714054276,-71.0171,42.3554,,True,6.43,199.69,,,,,False,0
a24aca,JBU1655 ,United States,1714054277,1714054277,-70.9931,42.3593,-76.2,False,69.63,75.45,13.33,,30.48,,False,0
a22a25,RAX957  ,United States,1714054270,1714054270,-71.0178,42.3727,,True,6.17,132.19,,,,,False,0
a84d62,JBU1061 ,United States,1714054276,1714054276,-71.0148,42.3683,,True,0.0,247.5,,,,,False,0
ab618b,UAL592  ,United States,1714054270,1714054276,-71.0137,42.3548,,True,0.0,19.69,,,,,False,0
a42e13,DAL363  ,United States,1714054264,1714054269,-71.0246,42.3647,,True,0.0,275.62,,,,,False,0
a1b449,RPA5753 ,United States,1714055181,1714055181,-71.0203,42.3639,,True,0.0,306.56,,,,0517,False,0
a35605,DAL849  ,United States,1714055183,1714055183,-71.0164,42.359,,True,4.37,275.62,,,,7211,False,0
ac2ba0,SWA900  ,United States,1714055176,1714055176,-71.0128,42.3632,,True,5.14,120.94,,,,,False,0
